threshold,precision,recall
0.11286193950694647,0.14139910695300872,0.9940209267563528
0.1129789010960845,0.141429179072735,0.9940209267563528
0.11304447813302959,0.14145926398638586,0.9940209267563528
0.11307294153952373,0.14148936170212767,0.9940209267563528
0.11311893964703638,0.14151947222813366,0.9940209267563528
0.11322635276718596,0.1415495955725841,0.9940209267563528
0.11328597139070579,0.14157973174366617,0.9940209267563528
0.11365553398501159,0.14160988074957412,0.9940209267563528
0.1136819326895853,0.14164004259850904,0.9940209267563528
0.11429365409094953,0.14167021729867915,0.9940209267563528
0.11432453954193139,0.1417004048582996,0.9940209267563528
0.11452827874458682,0.1417306052855925,0.9940209267563528
0.11458849363423822,0.14176081858878703,0.9940209267563528
0.11459049291101292,0.1417910447761194,0.9940209267563528
0.11474191451583421,0.1418212838558328,0.9940209267563528
0.11493182713276877,0.14185153583617746,0.9940209267563528
0.11516228354579927,0.1418818007254107,0.9940209267563528
0.11519663307417727,0.14191207853179685,0.9940209267563528
0.11529791606406248,0.14194236926360726,0.9940209267563528
0.11551563910925773,0.1419726729291204,0.9940209267563528
0.1157499076886417,0.14200298953662183,0.9940209267563528
0.11582047500396818,0.14203331909440411,0.9940209267563528
0.11589060768620378,0.14206366161076692,0.9940209267563528
0.11599423689602244,0.1420940170940171,0.9940209267563528
0.11602382485203729,0.14212438555246848,0.9940209267563528
0.11616517675276905,0.14215476699444207,0.9940209267563528
0.11643849795884453,0.14218516142826598,0.9940209267563528
0.11652794807178318,0.14221556886227546,0.9940209267563528
0.11654156776530593,0.14224598930481283,0.9940209267563528
0.1166213514318244,0.14227642276422764,0.9940209267563528
0.11666933675501594,0.14230686924887653,0.9940209267563528
0.11669464808512942,0.1423373287671233,0.9940209267563528
0.11671711266490871,0.1423678013273389,0.9940209267563528
0.11678678417955535,0.1423982869379015,0.9940209267563528
0.11692042796720929,0.1424287856071964,0.9940209267563528
0.11695384157227179,0.14245929734361612,0.9940209267563528
0.11703486397727592,0.14248982215556033,0.9940209267563528
0.11705126776787077,0.14252036005143592,0.9940209267563528
0.1171039390927122,0.14255091103965703,0.9940209267563528
0.11714703769759761,0.14258147512864494,0.9940209267563528
0.11720968239979944,0.14261205232682822,0.9940209267563528
0.11750842108896516,0.14264264264264265,0.9940209267563528
0.11757292157713099,0.14267324608453122,0.9940209267563528
0.11762709134372357,0.1427038626609442,0.9940209267563528
0.1176579787473573,0.14273449238033914,0.9940209267563528
0.11790386815758429,0.14276513525118076,0.9940209267563528
0.1179119481702542,0.14279579128194117,0.9940209267563528
0.118224377479626,0.14282646048109965,0.9940209267563528
0.11825568755520817,0.14285714285714285,0.9940209267563528
0.11826474917713818,0.14288783841856467,0.9940209267563528
